time	DeviceName	SpeedX(mm/s)	SpeedY(mm/s)	SpeedZ(mm/s)	AngleX(°)	AngleY(°)	AngleZ(°)	DisplacementX(um)	DisplacementY(um)	DisplacementZ(um)	FrequencyX(hz)	FrequencyY(hz)	FrequencyZ(hz)	Temperature(°C)	VersionNumber()	Electricity(%)
2025-3-30 11:2:59.391	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	1	3	2	2	12.50	10057.2.3	100
2025-3-30 11:2:59.511	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	3	2	2	12.63	10057.2.3	100
2025-3-30 11:2:59.601	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	3	2	2	12.57	10057.2.3	100
2025-3-30 11:2:59.721	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	3	2	2	12.69	10057.2.3	100
2025-3-30 11:2:59.781	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	2	0	1	12.44	10057.2.3	100
2025-3-30 11:2:59.901	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	2	0	1	12.44	10057.2.3	100
2025-3-30 11:2:59.990	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	1	2	0	1	12.57	10057.2.3	100
2025-3-30 11:3:0.111	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	2	0	1	12.50	10057.2.3	100
2025-3-30 11:3:0.201	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	1	2	0	1	12.57	10057.2.3	100
2025-3-30 11:3:0.351	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	2	0	1	12.63	10057.2.3	100
2025-3-30 11:3:0.381	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	2	0	1	12.38	10057.2.3	100
2025-3-30 11:3:0.501	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	2	0	1	12.63	10057.2.3	100
2025-3-30 11:3:0.621	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	2	0	1	12.69	10057.2.3	100
2025-3-30 11:3:0.711	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	1	2	0	1	12.69	10057.2.3	100
2025-3-30 11:3:0.801	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	5	0	4	12.50	10057.2.3	100
2025-3-30 11:3:0.921	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	1	5	0	4	12.38	10057.2.3	100
2025-3-30 11:3:1.11	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	5	0	4	12.44	10057.2.3	100
2025-3-30 11:3:1.161	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	5	0	4	12.44	10057.2.3	100
2025-3-30 11:3:1.190	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	3	5	0	4	12.57	10057.2.3	100
2025-3-30 11:3:1.311	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	0	1	5	0	4	12.69	10057.2.3	100
2025-3-30 11:3:1.401	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	1	2	5	0	4	12.63	10057.2.3	100
2025-3-30 11:3:1.521	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	1	5	0	4	12.94	10057.2.3	100
2025-3-30 11:3:1.611	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	5	0	4	12.50	10057.2.3	100
2025-3-30 11:3:1.732	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	5	0	4	12.63	10057.2.3	100
2025-3-30 11:3:1.791	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	1	6	2	5	12.82	10057.2.3	100
2025-3-30 11:3:1.911	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	6	2	5	12.69	10057.2.3	100
2025-3-30 11:3:2.1	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	0	1	6	2	5	12.44	10057.2.3	100
2025-3-30 11:3:2.165	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	6	2	5	12.63	10057.2.3	100
2025-3-30 11:3:2.211	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	6	2	5	12.63	10057.2.3	100
2025-3-30 11:3:2.331	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	6	2	5	12.44	10057.2.3	100
2025-3-30 11:3:2.421	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	6	2	5	12.63	10057.2.3	100
2025-3-30 11:3:2.541	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	1	6	2	5	12.69	10057.2.3	100
2025-3-30 11:3:2.601	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	6	2	5	12.44	10057.2.3	100
2025-3-30 11:3:2.751	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	1	0	6	2	5	12.69	10057.2.3	100
2025-3-30 11:3:2.811	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	3	2	2	12.38	10057.2.3	100
2025-3-30 11:3:2.931	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	1	1	3	2	2	12.50	10057.2.3	100
2025-3-30 11:3:3.20	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	1	1	3	2	2	12.57	10057.2.3	100
2025-3-30 11:3:3.140	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	3	0	1	3	2	2	12.50	10057.2.3	100
2025-3-30 11:3:3.200	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	3	1	0	3	2	2	12.44	10057.2.3	100
2025-3-30 11:3:3.320	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	0	0	3	2	2	12.44	10057.2.3	100
2025-3-30 11:3:3.410	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	3	2	2	12.69	10057.2.3	100
2025-3-30 11:3:3.531	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	3	2	2	12.50	10057.2.3	100
2025-3-30 11:3:3.621	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	1	0	3	2	2	12.69	10057.2.3	100
2025-3-30 11:3:3.771	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	1	3	2	2	12.50	10057.2.3	100
2025-3-30 11:3:3.863	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	6	3	3	12.44	10057.2.3	100
2025-3-30 11:3:3.950	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	6	3	3	12.69	10057.2.3	100
2025-3-30 11:3:4.11	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	6	3	3	12.50	10057.2.3	100
2025-3-30 11:3:4.132	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	1	0	6	3	3	12.50	10057.2.3	100
2025-3-30 11:3:4.222	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	1	6	3	3	12.69	10057.2.3	100
2025-3-30 11:3:4.350	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	6	3	3	12.63	10057.2.3	100
2025-3-30 11:3:4.431	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	1	0	6	3	3	12.57	10057.2.3	100
2025-3-30 11:3:4.551	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	6	3	3	12.69	10057.2.3	100
2025-3-30 11:3:4.610	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	6	3	3	12.44	10057.2.3	100
2025-3-30 11:3:4.761	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	6	3	3	12.88	10057.2.3	100
2025-3-30 11:3:4.821	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	5	2	2	12.57	10057.2.3	100
2025-3-30 11:3:5.1	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	5	2	2	12.69	10057.2.3	100
2025-3-30 11:3:5.31	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	5	2	2	12.69	10057.2.3	100
2025-3-30 11:3:5.151	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	5	2	2	12.69	10057.2.3	100
2025-3-30 11:3:5.240	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	5	2	2	12.69	10057.2.3	100
2025-3-30 11:3:5.361	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	5	2	2	12.82	10057.2.3	100
2025-3-30 11:3:5.421	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	1	5	2	2	12.50	10057.2.3	100
2025-3-30 11:3:5.541	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	1	0	5	2	2	12.44	10057.2.3	100
2025-3-30 11:3:5.661	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	1	2	5	2	2	12.69	10057.2.3	100
2025-3-30 11:3:5.752	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	1	1	5	2	2	12.50	10057.2.3	100
2025-3-30 11:3:5.841	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	0	1	3	3	4	12.63	10057.2.3	100
2025-3-30 11:3:5.962	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	3	3	4	12.88	10057.2.3	100
2025-3-30 11:3:6.21	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	3	3	4	12.57	10057.2.3	100
2025-3-30 11:3:6.171	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	1	3	3	4	12.69	10057.2.3	100
2025-3-30 11:3:6.230	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	1	0	3	3	4	12.57	10057.2.3	100
2025-3-30 11:3:6.351	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	3	3	4	12.57	10057.2.3	100
2025-3-30 11:3:6.441	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	3	3	4	12.82	10057.2.3	100
2025-3-30 11:3:6.590	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	1	3	3	4	12.57	10057.2.3	100
2025-3-30 11:3:6.652	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	3	3	4	12.50	10057.2.3	100
