time	DeviceName	SpeedX(mm/s)	SpeedY(mm/s)	SpeedZ(mm/s)	AngleX(°)	AngleY(°)	AngleZ(°)	DisplacementX(um)	DisplacementY(um)	DisplacementZ(um)	FrequencyX(hz)	FrequencyY(hz)	FrequencyZ(hz)	Temperature(°C)	VersionNumber()	Electricity(%)
2025-4-13 15:17:16.360	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	4	2	3	20.39	10057.2.3	100
2025-4-13 15:17:16.480	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	1	0	4	2	3	20.20	10057.2.3	100
2025-4-13 15:17:16.562	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	1	4	2	3	20.39	10057.2.3	100
2025-4-13 15:17:16.680	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	4	2	3	20.33	10057.2.3	100
2025-4-13 15:17:16.759	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	4	2	3	20.14	10057.2.3	100
2025-4-13 15:17:16.882	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	4	2	3	20.64	10057.2.3	100
2025-4-13 15:17:16.981	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	1	4	2	3	20.45	10057.2.3	100
2025-4-13 15:17:17.80	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	4	2	3	20.45	10057.2.3	100
2025-4-13 15:17:17.161	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	1	4	2	1	20.39	10057.2.3	100
2025-4-13 15:17:17.299	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	4	2	1	20.26	10057.2.3	100
2025-4-13 15:17:17.360	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	1	2	4	2	1	20.52	10057.2.3	100
2025-4-13 15:17:17.480	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	2	0	0	4	2	1	20.39	10057.2.3	100
2025-4-13 15:17:17.561	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	1	2	4	2	1	20.26	10057.2.3	100
2025-4-13 15:17:17.682	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	4	2	1	20.33	10057.2.3	100
2025-4-13 15:17:17.760	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	2	4	2	1	20.33	10057.2.3	100
2025-4-13 15:17:17.881	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	4	2	1	20.45	10057.2.3	100
2025-4-13 15:17:17.960	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	1	4	2	1	20.33	10057.2.3	100
2025-4-13 15:17:18.140	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	4	2	1	20.52	10057.2.3	100
2025-4-13 15:17:18.163	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	1	0	0	4	2	5	20.33	10057.2.3	100
2025-4-13 15:17:18.400	WTbob(8021AB414BBE)	0	0	0	0.000	0.000	0.000	0	0	0	4	2	5	20.33	10057.2.3	100
